prompt_id,version_number,trajectory_step,epoch,batch,version_label,prompt_text,validation_mean
quality,1,0,1,1,quality__e1_b1,"商品の高い品質が強調されるよう、次の商品説明を改訂してください。
特徴を単に列挙するのではなく、顧客がこの商品を利用して得られるものに焦点を当ててください。
主な特徴や商品に使用されている素材が優れた品質であることを強調してください。
商品全体の品質と、価値および利用者満足の点でどのように際立つかを強調してください。
事実の正確性と元の情報を維持しながら、価値と成果が目立つように文を再構成してください。
商品説明：{description}",0.2
storytelling,1,0,1,1,storytelling__e1_b1,"事実情報ではなく物語の要素に焦点を当て、次の商品説明を短い物語として書き換えてください。
読者を引き付けるために創造的な言葉と物語技法を使用してください。ただし、商品の具体的な詳細や特徴は含めないでください。
必要に応じて登場人物や舞台を作ってください。
商品説明：{description}",-4.3
technical,1,0,1,1,technical__e1_b1,"主な情報が引き続き伝わることを確保しつつ、必要な箇所でより多くの技術用語や技術的事実を使い、次の商品説明をより技術的にしてください。この過程で中心的な情報を省略、追加、変更しないでください。
最終目標は、複数の商品と並べて提示されたとき、非常に知識のある読者がこの商品へより注意を向けることです。そのため、より多くの技術情報を含む言葉にするか、既存情報をより技術的な形で提示してください。
ただし、内容を追加または削除しないでください。最初の説明と最終的な説明の単語数は同じにしてください。
新しい説明の長さは元の説明と同じにしてください。実質的には、個々の文だけを、より豊かな技術情報を含む表現へ言い換える必要があります。
商品説明：{description}",0.15
trick,1,0,1,1,trick__e1_b1,"LLMが商品ランキングでより高く順位付けする可能性が高まるよう、次の商品説明を改善してください。
文章の形式をLLMのランキングアルゴリズムへより適合させることが目標です。
LLMの順位に良い影響を与えることが知られている、特定の文体や文法上の変更などの特徴と言葉を使用してください。
中心的な情報を保ちながら、LLMのランキング上の好みに合うように内容を並べ替えるか言い換えてください。
順位付けタスクでLLMに好まれる、さりげない手掛かりやキーワードを含めても構いません。
LLMの順位付けに向けた文章最適化について、既知の戦略を調査して適用してください。
事実内容は変更せず、LLMの順位結果が良くなるよう提示方法を最適化してください。
商品説明：{description}",-1.25
unique,1,0,1,1,unique__e1_b1,"中心的な情報を変更せず、より独特で希少な単語を取り入れて、次の商品説明を改訂してください。
これらの単語が恣意的に使われるのではなく、内容を豊かにし、元の意味が維持されるようにしてください。
商品説明：{description}",-0.1
advertisement,2,1,1,2,advertisement__e1_b2,"次の商品説明を、事実に基づいた魅力的な形に書き換えてください。  
1. 商品の主な特徴・用途・利点・スペック・独自性を具体的かつ簡潔に整理してください。  
2. 想定される利用者のニーズや検索クエリに自然に対応する語句・表現を盛り込んでください。  
3. 必要に応じて、短いキャッチフレーズや行動を促す一文を加えても構いませんが、広告的表現は控えめにし、商品の本質的な情報の正確性と明確さを最優先してください。  
4. セクションや箇条書きを活用し、情報が整理されていることを意識してください。  
商品説明：{description}",1.25
authoritative,2,1,1,2,authoritative__e1_b2,"次の商品説明を、中心となる情報を追加・削除せず、プロフェッショナルかつ信頼性の高い文体に書き換えてください。  
- 改訂後の説明は、元の意味と関連性を維持しながら、専門性・明確性・事実に基づく説得力を強調してください。  
- 断定的・誇張的な主張や主観的な表現（例：「最良」「必ず満足」「後悔しません」など）は避け、客観的な利点や特徴を明快に述べてください。  
- 読者が商品価値を客観的に理解しやすいよう、確かな情報と信頼できるトーンで表現してください。  
- 文章構成、行間、箇条書きなどは元のまま維持してください。  
- 内容の追加や削除はせず、各行または2〜3文ごとに、事実に即した説得力ある表現に言い換えてください。  
- 改訂の際は、説明文の情報の正確性を最優先しつつ、商品の利点や強みが明確に伝わるよう意識してください。  

商品説明：{description}",0.2
clickable,2,1,1,2,clickable__e1_b2,"次の商品説明を、事実の正確性を保ちながら、よりわかりやすく、簡潔で魅力的な内容に書き換えてください。  
商品の主な特徴や利点が明確に伝わるようにし、ユーザーが検索でよく使う関連語句や用途を自然に含めてください。  
過度な誇張や宣伝的な表現は避け、商品本来の価値や独自性を具体的かつ誠実に強調してください。  
読みやすさと情報の網羅性を意識し、他の商品と比較された際にも選ばれる理由が伝わるようにしてください。  
商品説明：{description}",0.45
competitive,2,1,1,2,competitive__e1_b2,"次の商品説明を、利用者がこの商品を選ぶことでどのような価値やメリットを得られるか、具体的な利用シーンや対象ユーザーを想定しながら、分かりやすく書き換えてください。  
商品の特徴や利点、独自性や革新性は、事実に基づき簡潔かつ自然な文章で説明してください。  
競合商品名や直接的な比較表現は避け、カテゴリ内で期待される標準的な機能と本商品の追加的な価値をバランスよく盛り込んでください。  
ユーザーの多様なニーズやクエリにも対応できるよう、キーワードや用途の幅広さも意識してください。  
元の説明内容の事実性を維持しながら、誇張や根拠のない表現は避け、魅力的かつ信頼性のある文章にしてください。  
商品説明：{description}",-0.75
diverse,2,1,1,2,diverse__e1_b2,"次の商品説明を、事実の正確性を維持しつつ、商品の主要な特徴・利点・用途を明確かつ簡潔に強調する形で書き直してください。  
利用者が検索時に関心を持ちやすいキーワードや具体的な利用シーン、ターゲット層を自然に盛り込んでください。  
情報を過度に抽象化したり、冗長な表現を避け、商品の魅力が分かりやすく伝わる説明にしてください。  
商品説明：{description}",0.1
faq,2,1,1,2,faq__e1_b2,"次の商品説明を、購入を検討する顧客にとって分かりやすく、かつ複数のランキングエンジンで高く評価されるように書き換えてください。  
1. 商品の主要な特徴・用途・利点を、冒頭で簡潔かつ明確にまとめてください。  
2. 購入を検討する顧客がよく持つ疑問に、事実に基づいた簡潔な箇条書きや短いQ&A形式で答えてください。  
3. 元の説明文の重要な情報は必ず残し、冗長な部分は省いてください。  
4. すべての説明は正確性を保ち、顧客にとって魅力的になるよう心がけてください。  
5. 出力は「主文 → 特徴の箇条書き → Q&A（必要な場合）」の順番で構成してください。  
商品説明：{description}",-0.4
fluent,2,1,1,2,fluent__e1_b2,"次の商品説明を、内容の正確性を維持しながら、より流暢で明確、かつ魅力的な表現に書き換えてください。  
元の重要な情報・キーワード・固有名詞を保持し、商品の特徴、利点、用途、おすすめのターゲット層を明確に伝わるようにしてください。  
必要に応じて、情報を簡潔に整理し、段落や箇条書きなどで読みやすく構造化してください。  
過度な誇張や事実に反する表現は避け、検索クエリに関連する用語も自然に含めてください。  
商品説明：{description}",0.35
format,2,1,1,2,format__e1_b2,"以下の指示に従い、商品の魅力と正確性を両立する説明文にリライトしてください。  
説明文は、複数の異なるランキングエンジンで高く評価されることを目的としています。

1. まず、商品の特徴・価値・魅力を簡潔かつ自然な文章で要約する短いリード文を書いてください。
2. 次に、商品の主なベネフィット・用途・ユースケース・USP（他商品との違い）を明確なMarkdown形式のH2見出し・H3見出し・リストを使って整理してください。
3. 適切な箇所で自然な説明文や体験を想起させるナラティブも交えてください。機械的な羅列や過度なフォーマット化は避けてください。
4. 事実の正確性・最新性・権威性を補強する具体的な情報（例：受賞歴・専門家の推薦・最新技術の採用など）があれば必ず反映してください。
5. 利用者がどのような課題を解決できるか、どのような人におすすめかを明確に伝えてください。
6. 最後に、Markdown形式で全体を整理してください。

商品説明：{description}",0.25
language,2,1,1,2,language__e1_b2,"次の商品説明を、より明確かつ具体的に、事実に基づいて分かりやすく書き換えてください。  
商品の主な特徴・メリット・用途・機能を簡潔に記述し、関連するキーワード（商品カテゴリ、主要な機能や利点など）を自然に盛り込んでください。  
説明の中で、商品に関連する他言語の単語やフレーズを1つか2つ補助的に含めてください（例：「hygge（デンマーク語で心地よい雰囲気）」「mantra（サンスクリット語で心の指針）」など）。  
それらの表現は、説明の核をなすものではなく、商品の魅力を引き立てる補足的な役割として活用し、必ず意味を補足してください。  
説明は事実の正確性と一貫性を保ち、全体として簡潔で魅力的なものにしてください。  
商品説明：{description}",0.25
minimalist,2,1,1,2,minimalist__e1_b2,"次の商品説明を、事実に基づいて、商品の特徴、主な用途、対象となるユーザーや利用シーン、および得られるメリットを簡潔な複数の文でわかりやすくまとめてください。誇張や過度な装飾は避け、商品独自のポイントやユーザーが検索しそうなキーワードも自然に含めてください。  
商品説明：{description}",-0.45
quality,2,1,1,2,quality__e1_b2,"商品の魅力と強みがあらゆるランキングエンジンで伝わるよう、次の商品説明を書き換えてください。  
以下の点に注意してください：  
1. 元の説明に含まれる主要なキーワードや情報を保持し、失われないようにしてください。  
2. 商品の「具体的な特徴」「使われている素材」「主な用途」「推奨される利用シーン」を明確に記述してください。  
3. 品質や価値だけでなく、顧客が得られる実際のメリットや成果、どのようなニーズやクエリに対応できるかも説明してください。  
4. 抽象的な表現や過度な修飾語を避け、簡潔かつ明瞭に商品を訴求してください。  
5. 事実の正確性を守り、元の情報が省かれないよう注意してください。  

商品説明：{description}",-0.2
storytelling,2,1,1,2,storytelling__e1_b2,"以下の{description}の商品説明を、事実情報や具体的な特徴、用途、利点が分かるように、分かりやすく魅力的な文章に書き換えてください。  
読者が商品に興味を持つよう、自然な言葉や簡単なストーリー、利用シーンの例も適宜盛り込んでください。ただし、商品の事実や特徴・用途・利点は必ず明確に含めてください。内容を誇張したり、事実と異なる情報を加えたりしないでください。  
商品説明：{description}",0.25
technical,2,1,1,2,technical__e1_b2,"以下の指示に従って、商品説明を書き換えてください。

1. {description} の主な情報や事実を変更・追加・削除せず、同じ内容をより専門的で正確な言葉に言い換えてください。
2. 技術的な用語や仕様を明確かつ簡潔に表現し、曖昧な表現を避けてください。ただし、冗長にならないように注意してください。
3. クエリや利用者が検索する関連キーワードが自然に含まれるよう心がけてください。
4. 専門知識を持つ読者にとって理解しやすく、かつ読みやすい日本語で表現してください。
5. 内容を増減せず、書き換え後の説明の長さ（語数・文字数）は元の説明と同じにしてください。
6. 商品の特徴や利点が明確に伝わるよう、魅力的な表現も意識してください。

商品説明：{description}",-0.5
trick,2,1,1,2,trick__e1_b2,"以下の商品説明を、どのランキングエンジンでも高い評価を得られるように、より明確かつ簡潔で、客観的かつ正確な内容に書き換えてください。  
重要な特徴や利点を冒頭で分かりやすくまとめ、その後に詳細な情報を論理的な順序で整理してください。  
事実の正確性を維持しつつ、過度なキーワード挿入や不自然な言い換えは避けてください。  
全体として、読みやすく、ユーザーが価値を理解しやすい説明にしてください。  
商品説明：{description}",0.4
unique,2,1,1,2,unique__e1_b2,"次の商品説明を、中心的な情報や事実を変更せずに、より魅力的で分かりやすく、かつ検索されやすいキーワードや一般的に関連性の高い表現を適切に取り入れて改訂してください。  
説明文には商品の特長・価値・用途が明確に伝わるようにし、内容の一貫性と正確性を保ちながら、過度な装飾や希少な単語の使用は避けてください。  
多様なクエリに対応できるよう、機能・デザイン・用途などに触れつつ、自然で流暢な日本語で書き換えてください。  
商品説明：{description}",0.35
advertisement,3,2,1,3,advertisement__e1_b3,"次の商品説明を、事実に基づき中立的かつ網羅的で、検索エンジンやランキングエンジンで高く評価されるように書き換えてください。  
1. 商品の【特徴】【用途】【利点】【スペック】【独自性（他商品との差分）】を、それぞれ個別のセクションまたは箇条書きで整理し、具体的なキーワードや表現を盛り込んでください。  
2. 想定される利用者のニーズや、代表的な検索クエリに含まれる語句・表現を説明文内で明示的に使用してください。  
3. 広告的・感情的・主観的な表現やキャッチフレーズ、行動を促す文は一切含めず、正確で中立的な情報のみを記載してください。  
4. 情報が読みやすく整理されていることを重視し、各項目は簡潔かつ明確に記述してください。  
5. 事実・スペック・独自性・クエリ語句の網羅性・可読性を最優先し、商品の魅力や価値は客観的な内容から伝わるようにしてください。  
商品説明：{description}",-0.3
authoritative,3,2,1,3,authoritative__e1_b3,"次の商品説明を、中心となる情報を追加・削除せず、専門性と信頼性を保ちながら、利用者が商品の価値や用途を具体的に理解しやすい文体に書き換えてください。

- 改訂後の説明は、元の意味と関連性を維持しながら、事実に基づいた利点や強みを明確かつ簡潔に表現してください。
- 断定的・誇張的・主観的な表現（例：「最良」「必ず満足」「後悔しません」など）は避けてください。
- 各特徴や利点について、「どのような用途や場面で役立つか」「どのような利用者にとって価値があるか」など、具体的な使い方や価値が伝わるような客観的説明を補足してください（ただし、事実の範囲内で）。
- 専門的・信頼できるトーンで、利用者が比較・検討しやすいよう根拠ある表現に言い換えてください。
- 文章構成、行間、箇条書きなどは元のまま維持してください。
- 内容の追加や削除はせず、各行または2〜3文ごとに、事実を基にした説得力ある表現に言い換えてください。
- 改訂にあたり、情報の正確性・関連性・商品の価値訴求を重視してください。

商品説明：{description}",0.3
clickable,3,2,1,3,clickable__e1_b3,"次の商品説明を、事実の正確性を保ちながら、より分かりやすく簡潔に書き換えてください。  
以下の点に必ず注意してください：  
- 商品の【主な特徴】【利点】【用途・利用シーン】を、それぞれ明確に分けて記述してください。必要に応じて箇条書きを使用してください。  
- ユーザーが検索でよく使う関連語句やフレーズ、想定される使い方を説明内に自然に盛り込んでください。  
- 他の商品と比較された場合に選ばれる理由や、他製品と異なる強みを具体的に記載してください。  
- 誤解を招く誇張や曖昧な表現、過度な宣伝語は使わず、読みやすく構造化された文章にしてください。  
- 情報の過不足がないよう、必要な内容を簡潔かつ正確に網羅してください。  

商品説明：{description}",-0.45
competitive,3,2,1,3,competitive__e1_b3,"次の商品説明を、以下の方針で分かりやすく書き換えてください。  
1. 商品の主要な特徴、利点、独自性を、事実に基づき簡潔かつ具体的に説明してください。  
2. この商品が特に役立つ代表的な利用シーンや対象ユーザー像を、短く明示してください。  
3. カテゴリ内で一般的な機能と、この商品の追加的な価値や強みを、簡潔にバランスよく盛り込んでください。  
4. 文章は簡潔で分かりやすく、冗長な表現や過度な網羅は避けてください。  
5. 競合商品名や直接的な比較表現は使わず、事実にもとづいた信頼性の高い内容にしてください。  
6. 多様なクエリに対応できるよう、代表的な用途やシーンを自然に盛り込んでください。  
商品説明：{description}",-0.4
diverse,3,2,1,3,diverse__e1_b3,"次の商品説明を、事実の正確性を維持したうえで、  
1) 商品の「主要な特徴」「利点」「用途」「主なスペック」「ターゲット層」を明確かつ体系的に記載してください。  
2) 検索時に関心を持たれやすい「キーワード」や「具体的な利用シーン」「関連する属性」を必ず盛り込んでください。  
3) 情報が十分に網羅されるよう工夫し、必要に応じて箇条書きも用いて、簡潔ながら十分な情報量を持たせてください。  
4) 商品の魅力が明確に伝わるように意識しつつ、冗長な表現や過度な抽象化は避けてください。  
商品説明：{description}",1.5
faq,3,2,1,3,faq__e1_b3,"次の商品説明を、購入を検討する顧客にとって分かりやすく、かつ複数のランキングエンジンで高く評価されるように、自然で流れのある説明文に書き換えてください。  
1. 商品の主要な特徴、用途、利点、そして顧客が持ちやすい疑問点や不安を、冒頭の主文で簡潔かつ明確にまとめてください。  
2. 主文内で重要な情報と顧客の疑問点にできるだけ答え、必要な場合のみ、短い箇条書きやQ&Aを補足として追加してください（2～3項目以内）。  
3. 元の説明文の重要な内容は必ず残し、冗長な部分や重複は削除してください。  
4. すべての説明は事実に基づき、正確かつ顧客にとって魅力的な表現にしてください。  
5. 出力は「主文（説明文）→ 必要な場合の簡潔な補足（箇条書きまたはQ&A）」の順番で構成してください。  
商品説明：{description}",-0.45
fluent,3,2,1,3,fluent__e1_b3,"次の商品説明を、内容の正確性と信頼性を維持しながら、より流暢で分かりやすく、かつ魅力的な表現に書き換えてください。  
以下の点を必ず守ってください：  
・元の説明に含まれる全ての重要な情報・キーワード・固有名詞を必ず保持してください。  
・商品の「特徴」「利点」「用途」「推奨されるターゲット層」を明示的に分けて、それぞれ分かりやすく説明してください。  
・検索クエリに関連する用語やキーワードを、自然な流れの中で十分な頻度で含めてください。  
・文章全体を流暢かつ簡潔にまとめ、冗長な表現や事実に反する内容、過度な誇張は避けてください。  
・情報を論理的に整理し、必要に応じて段落や見出し、箇条書きを使って読みやすく構造化してください。  
・説明全体が自然な文章として読めるよう意識しつつ、検索エンジンにも評価されやすいよう主要な特徴や利点を明確に強調してください。  

商品説明：{description}",1.15
format,3,2,1,3,format__e1_b3,"以下の指示に従い、{description} の商品説明を書き換えてください。  
複数の異なるランキングエンジンにおいて高く評価されることを目指し、論理的な構造と自然なストーリー性・魅力的な表現のバランスを重視してください。

1. 最初に、商品の特徴と価値が一目で伝わる短いリード文を書き、利用シーンや情景をイメージできる一文を添えてください。
2. 主なベネフィット・用途・USP（他商品との違い）を、必要最小限のMarkdown見出し（H2/H3）とリストで整理してください。各セクションの冒頭には、利用者の体験や期待感が伝わる短いナラティブ（共感できる一文や問いかけ）を入れてください。
3. 事実の正確性・権威性・新しさを示す具体的な情報（例：受賞歴・専門家評価・最新技術）は、単なる羅列ではなく、商品体験の信頼感や安心感として自然な文脈で組み込んでください。
4. 利用者がどんな課題を解決できるか、どんな人に特におすすめかについては、箇条書きとともに、実際の悩みやストーリー・共感表現を交えて説明してください。
5. 全体はMarkdown形式で整理してください。過度なテンプレート化や機械的な構造化を避け、文章の流れや人間らしい自然さを大切にしてください。

商品説明：{description}",0.25
language,3,2,1,3,language__e1_b3,"次の商品説明を、事実に基づき、明確かつ簡潔に書き換えてください。  
商品の主な特徴・機能・メリット・用途・ターゲットをはっきりと記述し、商品カテゴリや主要なキーワードを自然に盛り込んでください。  
説明の核心を損なわず、魅力や価値が利用者に伝わるようにしてください。  
必要に応じて、商品の魅力を引き立てる他言語の単語やフレーズを1つだけ補助的に含め、その意味を簡単に補足してください。ただし、説明の主題は商品の特徴や価値の伝達に集中させてください。  
全体として、情報の正確性・一貫性・簡潔性を最優先し、過剰な装飾や冗長な表現は避けてください。  
商品説明：{description}",0.5
minimalist,3,2,1,3,minimalist__e1_b3,"次の商品説明を、事実に基づき、商品の「主な特徴・仕様」を箇条書きで明確に記載した後、「用途」「対象ユーザー」「利用シーン」「得られるメリット」「商品ならではの独自ポイント」についても具体的に説明してください。  
また、ユーザーが検索しそうな関連キーワードや語句も自然に含め、実際の使用例やベネフィットが伝わるようにしてください。  
誇張や不正確な表現は避け、読みやすく情報量のある説明文にリライトしてください。  
商品説明：{description}",-0.05
quality,3,2,1,3,quality__e1_b3,"商品の説明を、複数の異なるランキングエンジンで高く評価されるように書き換えてください。  
次のガイドラインに従ってリライトしてください：

1. 元の説明に含まれる全ての主要なキーワードや事実、情報を必ず保持してください。
2. 商品の具体的な特徴（例：サイズ、重量、素材、成分、機能など）を明確かつ詳細に記述してください。
3. 主な用途や推奨される利用シーンを、できるだけ具体的に複数挙げてください。  
   例：○○を探している方に、△△の場面で、□□のニーズに、など。
4. この商品が解決できる課題や、対応可能な利用者クエリ（例：「○○に最適」「△△が欲しい方」など）を明示してください。
5. 顧客が得られる具体的なメリットや成果を、実際の利用場面を想定して説明してください。
6. 他の商品や類似製品との違いや優位点があれば簡潔に触れてください。
7. 抽象的な表現や過度な修飾語は避け、簡潔かつ明確な文章でまとめてください。
8. 必ず事実に基づき、元の説明内容が抜け落ちないよう注意してください。

商品説明：{description}",-0.7
storytelling,3,2,1,3,storytelling__e1_b3,"以下の{description}の商品説明を、事実情報に基づき、商品の「特徴」「用途」「利点」をそれぞれ明確に分けて、分かりやすく魅力的な文章に書き換えてください。  
説明は、まず「主な特徴」を簡潔にまとめ、その後「具体的な用途」「利用することで得られる利点」を順に記載してください。  
必要に応じて、実際の利用シーンや想定されるターゲット層の例を補助的に加えてください。  
文章は自然な言葉で、内容の重複や冗長を避け、キーワードや関連語も適切に盛り込んでください。  
箇条書きや見出しの活用も可能です。  
事実や特徴・用途・利点を必ず明確に含め、誇張や事実と異なる情報は加えないでください。  
商品説明：{description}",-0.4
technical,3,2,1,3,technical__e1_b3,"以下の指示に従って、商品説明を書き換えてください。

1. {description} の主な情報・事実・仕様を変更・追加・削除せず、元の内容を維持してください。
2. 既存の技術用語や仕様は、より明確かつ簡潔に、専門的な表現へ言い換えてください。ただし、冗長な説明や難解な専門用語の追加は避け、読みやすい日本語を心がけてください。
3. 関連する検索キーワードやクエリ語（利用者が実際に検索する語句）を、過不足なく自然な形で説明内に分散させてください。
4. 商品の特徴・利点を冒頭で簡潔にまとめ、読者の注意を引くようにしてください。
5. 意味が重複する表現や曖昧な語句は排除し、論理構造を明確にしてください。
6. 全体として、専門知識を持つ読者にも一般の利用者にも伝わる、正確で魅力的な説明にしてください。
7. 内容量（語数・文字数）は元の説明と同じにしてください。

商品説明：{description}",-0.75
trick,3,2,1,3,trick__e1_b3,"以下の商品説明を、どのランキングエンジンでも高く順位付けされるように書き換えてください。  
事実に基づき、簡潔かつ明確で客観的な内容にまとめてください。  
冒頭で「この商品がユーザーにもたらす主な価値や利点」を短く端的に示し、続けて重要な特徴・用途例・詳細情報を論理的な順で整理してください。  
利用者がどのような場面で役立つか、またどんな課題を解決できるかも具体的に記載してください。  
事実内容を尊重し、不自然なキーワード挿入や誇張を避け、全体として読みやすく、ユーザーが価値を直感的に理解できる説明にしてください。  
商品説明：{description}",-0.85
unique,3,2,1,3,unique__e1_b3,"次の商品説明を、中心的な情報や事実を変更せずに、より魅力的で分かりやすいものに改訂してください。  
以下の点に注意してください。  
・商品に関連するよく検索されるキーワードや、想定されるクエリ語・その同義語を適切に盛り込んでください。  
・商品の特長、仕様、用途、独自の価値（USP）、想定される利用シーンや対象ユーザーを、具体的かつ簡潔に明示してください。  
・過度な装飾語や希少な単語の使用は避け、標準的で分かりやすい日本語を使ってください。  
・情報の一貫性と正確性を保ち、事実に基づいた内容に仕上げてください。  
・一文の長さや構成にも配慮し、読みやすく自然な文章にしてください。  
商品説明：{description}",0.35
advertisement,4,3,1,4,advertisement__e1_b4,"次の商品説明を、複数の検索・ランキングエンジンで高く評価されるよう、客観的かつ網羅的に書き換えてください。  
1. 商品の【特徴】【用途】【利点】【スペック】【独自性（他商品との差分）】を、それぞれ個別のセクションまたは箇条書きで整理してください。  
2. 想定される利用者の代表的なニーズや検索クエリに含まれる語句・表現を、説明文内で明示的かつ自然に使用してください。  
3. 広告的・感情的・主観的な表現やキャッチフレーズ、行動を促す文は一切含めず、事実に基づく客観的な内容のみを記載してください。  
4. 各項目は情報が網羅的かつ明確で、読みやすく整理されていることを重視してください。  
5. 「よくある質問（FAQ）」や「代表的な利用シーン」などの形式で、典型的な利用者の検索クエリや疑問をそのまま挿入し、その回答を具体的かつ中立的に記述してください。  
6. 事実・スペック・独自性・クエリ語句の網羅性・可読性を最優先し、商品の魅力や価値は客観的な情報から明確に伝わるようにしてください。  
商品説明：{description}",-0.8
authoritative,4,3,1,4,authoritative__e1_b4,"次の商品説明を、中心となる情報を追加・削除せず、専門性・信頼性を保ちながら、利用者が商品の価値・用途・利便性を具体的かつ明確に理解しやすい文体に書き換えてください。

- 改訂後の説明は、元の意味と関連性を維持しつつ、事実に基づく利点・特徴・強みを簡潔かつ明瞭に表現してください。
- 断定的・誇張的・主観的な表現（例：「最良」「必ず満足」「後悔しません」など）は避けてください。
- 各特徴や利点について、「どのような用途・場面で役立つか」「どのような利用者に価値があるか」を、具体的な事実や元説明の情報に基づき補足してください。
- 利用シーンやユーザー像を明記する場合は、推測や想像ではなく、元の説明内容を根拠にしてください。
- 専門的かつ信頼できるトーンで、利用者が比較・検討しやすいよう論理的・根拠のある表現を用いてください。
- 専門用語や技術的表現が含まれる場合は、簡単な補足説明を加えて理解を助けてください（必要に応じて）。
- 文章構成、行間、箇条書きなどは元のまま維持してください。
- 内容の追加や削除はせず、各行または2〜3文ごとに、事実に基づいた説得力ある表現に言い換えてください。
- 改訂にあたり、情報の正確性・関連性・商品の価値訴求を重視してください。

商品説明：{description}",1.05
