reranker_label,model_display,reranker_model,prompt_id,intent_id,test_initial_long,test_optimized_long,recovery_optimized_minus_initial
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-054,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-055,2,0,-2
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-056,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-057,-1,-2,-1
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-058,-9,-7,2
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-059,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-060,-3,-4,-1
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-061,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-062,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-063,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-064,-2,-2,0
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-065,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-066,-2,2,4
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-067,-1,1,2
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-068,2,1,-1
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-069,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-070,-3,-1,2
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-071,-2,0,2
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-072,1,2,1
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-073,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-074,-2,-2,0
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-075,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-076,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-077,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-078,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-079,-7,-1,6
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-080,-4,0,4
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-051,2,0,-2
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-052,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-053,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-054,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-055,0,2,2
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-056,-7,0,7
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-057,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-058,-3,-5,-2
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-059,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-060,-3,0,3
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-061,-5,-1,4
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-062,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-063,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-064,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-065,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-066,3,5,2
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-067,-2,-1,1
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-068,1,0,-1
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-069,-2,-1,1
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-070,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-071,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-072,2,1,-1
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-073,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-074,-1,6,7
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-075,1,0,-1
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-076,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-077,3,4,1
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-078,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-079,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,diverse,INTENT-080,-4,3,7
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-051,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-052,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-053,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-054,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-055,2,0,-2
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-056,0,-2,-2
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-057,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-058,-2,-3,-1
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-059,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-060,1,0,-1
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-061,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-062,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-063,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-064,0,-2,-2
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-065,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-066,1,3,2
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-067,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-068,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-069,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-070,-1,-3,-2
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-071,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-072,1,-1,-2
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-073,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-074,3,5,2
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-075,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-076,1,0,-1
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-077,3,0,-3
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-078,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-079,1,0,-1
Model E,GPT-5,gpt-5-2025-08-07,faq,INTENT-080,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-051,2,0,-2
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-052,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-053,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-054,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-055,0,2,2
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-056,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-057,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-058,-9,-2,7
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-059,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-060,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-061,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-062,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-063,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-064,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-065,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-066,1,3,2
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-067,1,-1,-2
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-068,2,0,-2
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-069,3,2,-1
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-070,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-071,1,0,-1
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-072,2,1,-1
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-073,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-074,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-075,-1,1,2
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-076,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-077,3,3,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-078,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-079,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,fluent,INTENT-080,0,3,3
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-051,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-052,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-053,-1,-2,-1
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-054,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-055,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-056,0,-4,-4
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-057,-2,-3,-1
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-058,-6,-9,-3
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-059,0,-8,-8
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-060,-3,-1,2
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-061,0,-8,-8
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-062,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-063,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-064,-8,-8,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-065,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-066,1,1,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-067,-2,-2,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-068,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-069,0,-3,-3
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-070,-3,-3,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-071,-2,-2,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-072,-2,0,2
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-073,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-074,5,-1,-6
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-075,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-076,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-077,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-078,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-079,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,format,INTENT-080,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-051,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-052,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-053,-2,-1,1
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-054,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-055,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-056,-8,0,8
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-057,-2,0,2
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-058,-9,0,9
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-059,-8,0,8
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-060,-3,-3,0
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-061,-5,-1,4
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-062,-2,0,2
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-063,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-064,-8,-2,6
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-065,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-066,1,3,2
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-067,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-068,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-069,-3,0,3
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-070,-3,-1,2
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-071,-3,-2,1
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-072,-2,0,2
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-073,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-074,-1,2,3
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-075,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-076,0,1,1
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-077,-1,3,4
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-078,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-079,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,language,INTENT-080,-4,2,6
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-051,2,0,-2
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-052,-4,0,4
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-053,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-054,-6,0,6
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-055,-3,2,5
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-056,-4,-1,3
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-057,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-058,-6,0,6
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-059,-6,0,6
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-060,-5,0,5
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-061,-6,0,6
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-062,1,0,-1
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-063,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-064,-7,0,7
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-065,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-066,-1,5,6
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-067,-2,-2,0
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-068,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-069,-3,0,3
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-070,-3,-1,2
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-071,-2,0,2
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-072,2,2,0
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-073,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-074,-2,2,4
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-075,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-076,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-077,-1,4,5
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-078,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-079,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,minimalist,INTENT-080,-4,0,4
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-051,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-052,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-053,-1,-2,-1
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-054,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-055,2,2,0
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-056,-9,-2,7
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-057,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-058,0,-7,-7
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-059,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-060,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-061,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-062,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-063,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-064,-7,-8,-1
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-065,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-066,0,-2,-2
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-067,2,-1,-3
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-068,0,1,1
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-069,-1,-3,-2
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-070,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-071,0,-2,-2
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-072,2,2,0
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-073,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-074,-2,5,7
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-075,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-076,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-077,3,0,-3
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-078,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-079,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,quality,INTENT-080,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,storytelling,INTENT-051,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,storytelling,INTENT-052,-9,0,9
Model E,GPT-5,gpt-5-2025-08-07,storytelling,INTENT-053,-9,-1,8
Model E,GPT-5,gpt-5-2025-08-07,storytelling,INTENT-054,-9,0,9
Model E,GPT-5,gpt-5-2025-08-07,storytelling,INTENT-055,-7,2,9
Model E,GPT-5,gpt-5-2025-08-07,storytelling,INTENT-056,-9,0,9
Model E,GPT-5,gpt-5-2025-08-07,storytelling,INTENT-057,-3,0,3
Model E,GPT-5,gpt-5-2025-08-07,storytelling,INTENT-058,-9,0,9
Model E,GPT-5,gpt-5-2025-08-07,storytelling,INTENT-059,-8,0,8
Model E,GPT-5,gpt-5-2025-08-07,storytelling,INTENT-060,-8,-1,7
Model E,GPT-5,gpt-5-2025-08-07,storytelling,INTENT-061,-8,0,8
