reranker_label,model_display,reranker_model,prompt_id,initial_mean,optimized_mean,recovery_mean,recovery_median,intent_pair_improved_rate
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,faq,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.26666666666666666
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,fluent,0.36666666666666664,-0.5333333333333333,-0.9,0.0,0.16666666666666666
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,format,-0.1,-0.6,-0.5,0.0,0.2
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,language,-2.533333333333333,-0.23333333333333334,2.3,1.0,0.6666666666666666
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,minimalist,-2.966666666666667,-0.6666666666666666,2.3,1.0,0.5666666666666667
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,quality,-0.9333333333333333,-1.1333333333333333,-0.2,0.0,0.36666666666666664
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,storytelling,-4.766666666666667,-0.4,4.366666666666666,5.0,0.8333333333333334
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,technical,-0.4666666666666667,0.06666666666666667,0.5333333333333333,0.0,0.26666666666666666
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,trick,-1.6,-0.5,1.1,0.0,0.43333333333333335
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,unique,-0.4,-0.16666666666666666,0.23333333333333334,0.0,0.26666666666666666
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,advertisement,-2.3333333333333335,-0.26666666666666666,2.066666666666667,1.0,0.6
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,authoritative,-1.9333333333333333,-0.13333333333333333,1.8,1.0,0.7333333333333333
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,clickable,-0.6666666666666666,-0.23333333333333334,0.43333333333333335,0.0,0.3333333333333333
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,competitive,-0.8,-0.4666666666666667,0.3333333333333333,0.0,0.43333333333333335
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,diverse,-1.0333333333333334,-0.5,0.5333333333333333,0.0,0.43333333333333335
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,faq,-0.5,-0.1,0.4,0.0,0.26666666666666666
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,fluent,-0.1,-0.26666666666666666,-0.16666666666666666,0.0,0.23333333333333334
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,format,-0.13333333333333333,-0.8333333333333334,-0.7,0.0,0.16666666666666666
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,language,-2.433333333333333,-0.36666666666666664,2.066666666666667,2.0,0.6333333333333333
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,minimalist,-1.3666666666666667,-0.26666666666666666,1.1,1.0,0.5333333333333333
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,quality,-1.2666666666666666,-1.1333333333333333,0.13333333333333333,0.0,0.2
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,storytelling,-3.3,-0.2,3.1,2.5,0.7666666666666667
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,technical,-0.6333333333333333,-0.8666666666666667,-0.23333333333333334,0.0,0.2
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,trick,-1.8,-0.13333333333333333,1.6666666666666667,1.0,0.5666666666666667
Model G,Claude Sonnet 4.5,claude-sonnet-4-5,unique,-0.1,-0.26666666666666666,-0.16666666666666666,0.0,0.23333333333333334
